"","GeneID","DetectionFrequency"
"1","ENSG00000000003",0.84375
"2","ENSG00000000005",0.770833333333333
"3","ENSG00000000419",0.65625
"4","ENSG00000000457",0.770833333333333
"5","ENSG00000000460",0.833333333333333
"6","ENSG00000000938",0.510416666666667
"7","ENSG00000000971",0.958333333333333
"8","ENSG00000001036",0.645833333333333
"9","ENSG00000001084",0.875
"10","ENSG00000001167",0.770833333333333
"11","ENSG00000001460",0.854166666666667
"12","ENSG00000001461",0.895833333333333
"13","ENSG00000001497",0.822916666666667
"14","ENSG00000001561",0.78125
"15","ENSG00000001617",0.53125
"16","ENSG00000001626",0.895833333333333
"17","ENSG00000001629",0.9375
"18","ENSG00000001630",0.125
"19","ENSG00000001631",0.864583333333333
"20","ENSG00000002016",0.760416666666667
"21","ENSG00000002079",0.802083333333333
"22","ENSG00000002330",0.34375
"23","ENSG00000002549",0.864583333333333
"24","ENSG00000002586",0.875
"25","ENSG00000002587",0.90625
"26","ENSG00000002726",0.614583333333333
"27","ENSG00000002745",0.697916666666667
"28","ENSG00000002746",0.875
"29","ENSG00000002822",0.697916666666667
"30","ENSG00000002834",0.447916666666667
"31","ENSG00000002919",0.635416666666667
"32","ENSG00000002933",0.572916666666667
"33","ENSG00000003056",0.645833333333333
"34","ENSG00000003096",0.854166666666667
"35","ENSG00000003137",0.666666666666667
"36","ENSG00000003147",0.854166666666667
"37","ENSG00000003249",0.552083333333333
"38","ENSG00000003393",0.947916666666667
"39","ENSG00000003400",0.854166666666667
"40","ENSG00000003402",0.854166666666667
"41","ENSG00000003436",0.958333333333333
"42","ENSG00000003509",0.791666666666667
"43","ENSG00000003756",0.84375
"44","ENSG00000003987",0.864583333333333
"45","ENSG00000003989",0.916666666666667
"46","ENSG00000004059",0.28125
"47","ENSG00000004139",0.510416666666667
"48","ENSG00000004142",0.614583333333333
"49","ENSG00000004399",0.71875
"50","ENSG00000004455",0.84375
"51","ENSG00000004468",0.864583333333333
"52","ENSG00000004478",0.697916666666667
"53","ENSG00000004487",0.822916666666667
"54","ENSG00000004534",0.927083333333333
"55","ENSG00000004660",0.59375
"56","ENSG00000004700",0.71875
"57","ENSG00000004766",0.958333333333333
"58","ENSG00000004776",0.322916666666667
"59","ENSG00000004777",0.427083333333333
"60","ENSG00000004779",0.6875
"61","ENSG00000004799",0.895833333333333
"62","ENSG00000004809",0.78125
"63","ENSG00000004838",0.4375
"64","ENSG00000004846",0.989583333333333
"65","ENSG00000004848",0.65625
"66","ENSG00000004864",0.833333333333333
"67","ENSG00000004866",0.885416666666667
"68","ENSG00000004897",0.90625
"69","ENSG00000004939",0.822916666666667
"70","ENSG00000004948",0.833333333333333
"71","ENSG00000004961",0.854166666666667
"72","ENSG00000004975",0.46875
"73","ENSG00000005001",0.354166666666667
"74","ENSG00000005007",0.770833333333333
"75","ENSG00000005020",0.895833333333333
"76","ENSG00000005022",0.572916666666667
"77","ENSG00000005059",0.854166666666667
"78","ENSG00000005073",0.520833333333333
